37790.460     4	 1737643395.03300	 1	 1	 0	 0	 0	 0
37790.463     4	 1737643395.03300	 1	 1	 0	 0	 0	 0
37790.466     4	 1737643395.03300	 1	 1	 0	 0	 0	 0
37790.469     4	 1737643395.03300	 1	 1	 0	 0	 0	 0
37790.472     4	 1737643395.03300	 1	 1	 0	 0	 0	 0
37790.475     4	 1737643396.03400	 1	 1	 0	 0	 0	 0
37790.475     0	 1737643396.04200	 1	 1	 0	 0	 0	 0
37790.476     0	 1737643396.04200	 1	 1	 0	 0	 0	 0
37790.476     4	 1737643396.03400	 1	 1	 0	 0	 0	 0
37790.479     0	 1737643396.04200	 1	 1	 0	 0	 0	 0
37790.479     4	 1737643396.03400	 1	 1	 0	 0	 0	 0
37790.482     0	 1737643396.04200	 1	 1	 0	 0	 0	 0
37790.483     4	 1737643396.03400	 1	 1	 0	 0	 0	 0
37790.485     0	 1737643396.04200	 1	 1	 0	 0	 0	 0
37790.485     4	 1737643396.03400	 1	 1	 0	 0	 0	 0
37790.488     0	 1737643397.03600	 1	 1	 0	 0	 0	 0
37790.488     4	 1737643397.03200	 1	 1	 0	 0	 0	 0
37790.490     0	 1737643397.03600	 1	 1	 0	 0	 0	 0
37790.490     4	 1737643397.03200	 1	 1	 0	 0	 0	 0
37790.492     0	 1737643397.03600	 1	 1	 0	 0	 0	 0
37790.492     4	 1737643397.03200	 1	 1	 0	 0	 0	 0
37790.495     0	 1737643397.03600	 1	 1	 0	 0	 0	 0
37790.495     4	 1737643397.03200	 1	 1	 0	 0	 0	 0
37790.498     0	 1737643397.03600	 1	 1	 0	 0	 0	 0
37790.498     4	 1737643397.03200	 1	 1	 0	 0	 0	 0
37790.501     4	 1737643398.02700	 1	 1	 0	 0	 0	 0
37790.501     0	 1737643398.04200	 1	 1	 0	 0	 0	 0
37790.503     0	 1737643398.04200	 1	 1	 0	 0	 0	 0
37790.504     4	 1737643398.02700	 1	 1	 0	 0	 0	 0
37790.506     0	 1737643398.04200	 1	 1	 0	 0	 0	 0
37790.506     4	 1737643398.02700	 1	 1	 0	 0	 0	 0
37790.509     0	 1737643398.04200	 1	 1	 0	 0	 0	 0
